Book Id,Title,Author,Additional Authors,ISBN,MyRating,AverageRating,Publisher,Binding,Pages,Year Published,PublicationYear,YearRead,DateRead,Date Added,Bookshelves,Bookshelves with positions,ExclusiveShelf,My Review,ReadCount
17397466,An Introduction to Statistical Learning: With Applications in R,Gareth James,"Trevor Hastie, Robert Tibshirani, Daniela Witten",1461471370,0,4.6,Springer,Hardcover,426,2017,2013,,,5/7/18,currently-reading,currently-reading (#5),currently-reading,,1
24203476,The Self-made Billionaire Effect Deluxe: How Extreme Producers Create Massive Value,John Sviokla,Mitch Cohen,,0,3.75,Portfolio,ebook,198,2014,2014,,,9/25/19,currently-reading,currently-reading (#4),currently-reading,,1
4866,How to Stop Worrying and Start Living,Dale Carnegie,,671035975,5,4.12,Gallery Books,Paperback,358,2004,1944,2018,8/10/18,8/9/18,,,read,"""A good book gets better at the second reading"", I once heard a philosopher say. I read this one for the first time few years ago, and picked it up again. The book - when read with the apt mindset, receptive mind - works like a 'medisin': extremely therapeutic. It is bathed in common sense (heavily), psychology (mildly), christian philosophy (heavily) and stoicism (somewhat heavily). We will always live with worry and anxiety, there is no escape, it comes with the baggage; perhaps, then, it's a good idea to manage it, so that one could do that which one should do relatively calmly and optimally. That sounds like a good plan to me. So, happy reading! ",2
24615,Enchiridion,Epictetus,George Long,486433595,5,4.23,Dover Publications,Paperback,64,2004,125,2016,5/18/16,5/8/16,,,read,Wisdom for 2 bucks!,2
18730621,Everyday Calculus: Discovering the Hidden Math All Around Us,Oscar E. Fernandez,,691157553,0,3.5,Princeton University Press,Hardcover,150,2014,2014,,,9/19/19,currently-reading,currently-reading (#3),currently-reading,,1
25664421,The Age of Cryptocurrency: How Bitcoin and the Blockchain Are Challenging the Global Economic Order,Paul Vigna,Michael J. Casey,1250081556,0,3.88,Picador,Paperback,384,2016,2015,,,1/4/19,to-read,to-read (#124),to-read,,0
27220736,Shoe Dog: A Memoir by the Creator of NIKE,Phil Knight,,1501135910,5,4.48,Scribner,Hardcover,400,2016,2016,2019,9/17/19,9/7/19,,,read,Two things had kept me up late into the early mornings this year -insomnia and Shoe Dog. One of the best memoirs I have read. ,1
31684925,Chemistry,Weike Wang,,,0,3.71,Knopf,Kindle Edition,224,2017,2017,,,9/9/19,to-read,to-read (#123),to-read,,0
22847284,Grokking Algorithms An Illustrated Guide For Programmers and Other Curious People,Aditya Y. Bhargava,,1617292230,0,4.39,Manning Publications Co,Pasta blanda,256,2015,2015,,,9/1/19,to-read,to-read (#122),to-read,,0
34520272,Socrates en Òrúnmìlà. Wat we van Afrikaanse filosofie kunnen leren,Sophie Bosede Oluwole,,,5,3.35,Ten Have,Paperback,224,2017,,2019,8/30/19,8/26/19,,,read,"Socrates and Orunmila was written by my favorite female philosopher, Mama Sophie. Brilliant woman! I searched for the book for years, but recently got my hands on it. Here, she argued for a parity of status between Orunmila and Socrates, whom she stated are two patron saints of classical philosophy. She engaged in a very deep, critical comparative analysis of African and Western philosophy. And, as a side note: one thing I liked about her (the book) is that she didn't shy away from throwing trenchant jabs at philosophers who ignorantly downgraded, or questioned the existence of a bonafide African Philosophy. Her arguments, for me, are quite convincing. As such, if anyone one needs convincing that we (Africans) had thrown away the baby with the bath water. Buy this book (good luck getting it) and read carefully.",1
